# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: -10(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2000,-0.00601534,-0.0431399,0.0504074,-0.0024208,0,0,-0.00608065,-0.0145149,0.000219667,0.000128994,-0.0197151,0.0172401
2000.7,-0.0071275,-0.0429263,0.0504084,-0.00284004,0,0,-0.00644691,-0.014438,0.000238394,0.000127343,-0.0192596,0.0179549
2001.4,-0.00831533,-0.0426983,0.0504518,-0.00330824,0,0,-0.00689425,-0.0143616,0.000243945,9.66594e-05,-0.0187677,0.018712
2002.1,-0.00946336,-0.0423494,0.0504389,-0.00376938,0,0,-0.00731789,-0.0141844,0.000242888,8.7128e-05,-0.0182295,0.0194148
2002.8,-0.0106267,-0.0421142,0.0505258,-0.00425252,0,0,-0.00775486,-0.0141404,0.000246779,9.11211e-05,-0.0177061,0.0201662
2003.5,-0.0117495,-0.0417604,0.0505209,-0.00470013,0,0,-0.00818153,-0.0139642,0.000267526,6.15646e-05,-0.0171293,0.020854
2004.2,-0.0128996,-0.0414073,0.0505269,-0.00522308,0,0,-0.00862994,-0.0138259,0.000252677,6.49443e-05,-0.0165227,0.0215592
2004.9,-0.0140061,-0.040896,0.0504424,-0.00564877,0,0,-0.00904545,-0.0136365,0.00027155,4.89911e-05,-0.0158703,0.0221766
2005.6,-0.015084,-0.0404022,0.0503825,-0.00613062,0,0,-0.00945588,-0.0134782,0.000268466,4.4847e-05,-0.0151881,0.0228093
2006.3,-0.016196,-0.0399811,0.0504392,-0.00661385,0,0,-0.00987531,-0.0133055,0.000296385,3.64506e-05,-0.0145335,0.023474
2007,-0.0172444,-0.0394638,0.0503921,-0.00710644,0,0,-0.0103371,-0.0131018,0.000276364,1.33659e-05,-0.0138085,0.0240703
2007.7,-0.0182981,-0.0389908,0.0504189,-0.00753308,0,0,-0.0107367,-0.0128974,0.000272662,-4.53732e-06,-0.0130954,0.0246792
2008.4,-0.0193504,-0.0383976,0.0503692,-0.00804455,0,0,-0.0111482,-0.0127145,0.000261868,-1.41458e-05,-0.0123249,0.0252424
2009.1,-0.020366,-0.0378404,0.0503621,-0.00850084,0,0,-0.0115641,-0.0124762,0.000292786,-3.19922e-05,-0.0115524,0.0257967
2009.8,-0.0213688,-0.0372085,0.0502806,-0.00897094,0,0,-0.0119696,-0.0121896,0.000282593,-3.82841e-05,-0.0107343,0.0263195
2010.5,-0.0223217,-0.0365539,0.0502162,-0.00941384,0,0,-0.0123667,-0.0119464,0.000282095,-5.05905e-05,-0.00991792,0.0267899
2011.2,-0.0232504,-0.035835,0.0501173,-0.00990844,0,0,-0.0127621,-0.0116624,0.000280859,-6.21745e-05,-0.00905209,0.0272409
2011.9,-0.0242052,-0.0351879,0.050097,-0.0103785,0,0,-0.0131348,-0.0114107,0.000279148,-8.33773e-05,-0.00819949,0.0277126
2012.6,-0.0251413,-0.0345283,0.0501073,-0.0108533,0,0,-0.0135608,-0.0111116,0.000289971,-8.94017e-05,-0.00732482,0.0281683
2013.3,-0.0259761,-0.0337392,0.0499103,-0.0112885,0,0,-0.0138901,-0.0107711,0.000261624,-0.000119056,-0.00639496,0.0284971
2014,-0.0268663,-0.0330025,0.049896,-0.0117678,0,0,-0.0142704,-0.0104491,0.000266147,-0.000123879,-0.00548023,0.0288877
2014.7,-0.0277165,-0.0322155,0.0498147,-0.0122105,0,0,-0.0146309,-0.0101118,0.000271595,-0.000143059,-0.00454353,0.0292109
2015.4,-0.0285348,-0.0314379,0.0497485,-0.0126787,0,0,-0.0149972,-0.00976834,0.000261398,-0.000166229,-0.00357885,0.029522
2016.1,-0.0293359,-0.0305973,0.0496493,-0.0131245,0,0,-0.0153493,-0.00941931,0.00024328,-0.000168437,-0.00260571,0.029786
2016.8,-0.0301042,-0.0297462,0.0495513,-0.0136068,0,0,-0.0156717,-0.00904069,0.000251636,-0.000159668,-0.00161385,0.0300167
2017.5,-0.0308547,-0.0288926,0.0494497,-0.0140715,0,0,-0.016022,-0.00866806,0.000252654,-0.000198338,-0.000605922,0.0302387
2018.2,-0.0315335,-0.027999,0.0493446,-0.014512,0,0,-0.0163206,-0.00826558,0.000233402,-0.000199891,0.000399423,0.0304007
2018.9,-0.0322918,-0.0271381,0.0492787,-0.01499,0,0,-0.0166875,-0.00784823,0.000230563,-0.000196674,0.00144142,0.0305658
2019.6,-0.0328545,-0.0261435,0.049037,-0.0153832,0,0,-0.0169109,-0.00742271,0.000226389,-0.000214178,0.00246693,0.0306031
2020.3,-0.0335122,-0.0252312,0.0489324,-0.015862,0,0,-0.0172304,-0.00698955,0.000206162,-0.000231017,0.00352245,0.0306846
2021,-0.0341375,-0.0242899,0.0488552,-0.0163001,0,0,-0.0175432,-0.00656505,0.000205289,-0.000258582,0.00457115,0.0307356
2021.7,-0.0347105,-0.0233376,0.0486956,-0.0167397,0,0,-0.0178231,-0.00611659,0.000187303,-0.000249924,0.00563208,0.0307228
2022.4,-0.0352552,-0.0224041,0.0486514,-0.0171714,0,0,-0.0181023,-0.00567249,0.000176535,-0.000268729,0.0066938,0.0307065
2023.1,-0.0357678,-0.0213896,0.0484674,-0.0176417,0,0,-0.0183604,-0.00520967,0.000174512,-0.000281488,0.00777334,0.0306268
2023.8,-0.0362756,-0.0204193,0.0483274,-0.0180285,0,0,-0.0185896,-0.00471379,0.000161509,-0.000275964,0.00883817,0.0305098
2024.5,-0.0367534,-0.0194093,0.0481755,-0.0185021,0,0,-0.0188,-0.00423318,0.000138758,-0.000316304,0.00992185,0.0303537
2025.2,-0.0371991,-0.0184365,0.048098,-0.0189243,0,0,-0.0190689,-0.00375297,0.000144201,-0.000309393,0.0109982,0.0302057
2025.9,-0.0376094,-0.0174037,0.0479102,-0.0193502,0,0,-0.0192408,-0.00322785,0.000122765,-0.000311734,0.012074,0.029962
2026.6,-0.0380188,-0.0164074,0.0478121,-0.0197951,0,0,-0.0194538,-0.00274219,8.28569e-05,-0.000325989,0.0131608,0.0297235
2027.3,-0.038346,-0.0153566,0.0475782,-0.020199,0,0,-0.0195874,-0.00218432,8.12795e-05,-0.00032758,0.0142272,0.0293969
2028,-0.0386416,-0.0143168,0.0474312,-0.0206235,0,0,-0.0197572,-0.00167846,9.01738e-05,-0.000335445,0.0152771,0.029053
2028.7,-0.0389667,-0.0132489,0.0472947,-0.0210736,0,0,-0.0199319,-0.0011368,6.4212e-05,-0.000330158,0.0163569,0.0286782
2029.4,-0.0392151,-0.01225,0.0470797,-0.021422,0,0,-0.0200287,-0.000589861,4.99763e-05,-0.000333411,0.0173831,0.0282567
2030.1,-0.0328264,-0.0117624,0.0412862,-0.0159562,0,0,-0.0171067,-0.00128535,5.1582e-05,-0.000285121,0.0140305,0.0246638
2030.8,-0.0329276,-0.0108111,0.0409725,-0.0162631,0,0,-0.0171671,-0.000838726,5.19132e-05,-0.000288827,0.0148851,0.0241969
2031.5,-0.0332356,-0.0099918,0.040936,-0.0166572,0,0,-0.0173135,-0.00034085,1.57661e-05,-0.00031015,0.0158142,0.0238776
2032.2,-0.0334533,-0.00909746,0.0408645,-0.0170159,0,0,-0.0174312,0.000120845,3.81301e-06,-0.000303284,0.0167119,0.0234657
2032.9,-0.0334775,-0.00817614,0.0405512,-0.0173506,0,0,-0.0174573,0.000615151,-2.63897e-05,-0.000308196,0.0175354,0.0229243
2033.6,-0.0337698,-0.00735866,0.0406224,-0.017705,0,0,-0.0175924,0.00108355,-2.58785e-05,-0.000294619,0.0184595,0.0225537
2034.3,-0.0337808,-0.00643384,0.0403639,-0.018022,0,0,-0.0176118,0.00156178,-5.29983e-05,-0.000308742,0.0192601,0.0219628
2035,-0.0338475,-0.00554415,0.0402056,-0.0183586,0,0,-0.0176341,0.00205092,-4.3816e-05,-0.000305254,0.0200973,0.0213994
2035.7,-0.0339598,-0.00469164,0.0401004,-0.0187301,0,0,-0.0176983,0.00256295,-5.28961e-05,-0.000306893,0.0209338,0.0208387
2036.4,-0.0341364,-0.00382293,0.0401075,-0.019129,0,0,-0.0177481,0.00306736,-7.55869e-05,-0.000308821,0.0218157,0.0203027
2037.1,-0.03415,-0.00294868,0.0399697,-0.0194394,0,0,-0.0177878,0.00354952,-8.61469e-05,-0.000301613,0.0225898,0.0196542
2037.8,-0.0341142,-0.00205343,0.0397613,-0.0197905,0,0,-0.0177305,0.0040813,-0.000117906,-0.000302497,0.0233624,0.0189461
2038.5,-0.0339879,-0.00118717,0.0394335,-0.0200237,0,0,-0.0176405,0.00458571,-0.000136129,-0.000285335,0.0240233,0.0181733
2039.2,-0.034081,-0.000328842,0.0394508,-0.0204028,0,0,-0.0176551,0.00512313,-0.000149305,-0.000308818,0.0248295,0.0175178
2039.9,-0.0339732,0.000516181,0.0392543,-0.0207152,0,0,-0.017606,0.00560968,-0.000152734,-0.000309937,0.0255203,0.0167295
2040.6,-0.0338621,0.00139634,0.0390503,-0.0210238,0,0,-0.0174985,0.00613266,-0.000173597,-0.000298001,0.0261942,0.0159229
2041.3,-0.033906,0.00225386,0.0390661,-0.0214343,0,0,-0.0175146,0.00665186,-0.000199834,-0.000268086,0.0269562,0.0151769
