# Vayyar & Minicircuits VNAKit
# Frequency range: [100 - 6000 (mhz)], 236 measurements.
# RBW: 1(khz); OutputPower: -10(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
100,0.000364373,0.00158094,-0.0464169,0.0296794,0,0,0.0442099,0.0462904,-0.00141451,-3.27887e-05,0.0860682,-0.032311
125.106,0.0041646,-0.00373788,0.00461735,-0.0510063,0,0,-0.0366805,0.0462492,-0.000745934,0.00272124,-0.0416694,-0.0804151
150.213,-0.00215109,-0.00292536,-0.0134445,-0.0494791,0,0,0.0118769,0.0579987,0.00211255,0.000883059,-0.0905318,-0.000162068
175.319,-0.00117427,0.00143925,-0.0290184,-0.0421338,0,0,0.0515769,0.0290549,0.00101524,-0.00158155,-0.0435753,0.0792899
200.426,0.00153124,-0.000226242,-0.0415282,-0.030719,0,0,0.0566686,-0.0195779,-0.00108875,-0.00109576,0.0485697,0.076584
225.532,-0.000404297,-0.00143044,-0.0501866,-0.0161068,0,0,0.0236419,-0.0566036,-0.00114426,0.000583663,0.0909868,-0.00550483
250.638,-0.00061124,-0.000494004,-0.0541855,0.000575749,0,0,-0.0272617,-0.0570268,9.61468e-05,0.0010002,0.03983,-0.0825143
275.745,-0.00100661,-0.000797216,-0.0431558,0.0172696,0,0,-0.0526306,-0.0126127,0.000479673,5.43157e-05,-0.0538792,-0.0694337
300.851,-0.0021833,0.000649695,-0.0364571,0.0298844,0,0,-0.0457952,0.0306574,-1.71837e-05,-0.000114526,-0.0876167,0.0118068
325.957,-0.00030127,0.00268563,-0.0258495,0.0396147,0,0,-0.00848593,0.0547169,9.48595e-05,0.000252897,-0.033639,0.0818447
351.064,0.00191783,0.00117169,-0.0127839,0.046012,0,0,0.0349165,0.0437184,0.000569277,-0.000109015,0.0542953,0.0702311
376.17,0.00142081,-0.000380316,0.00181705,0.0488545,0,0,0.0570667,0.00394607,8.99674e-05,-0.00080788,0.0885221,-0.0121183
401.277,0.000750044,7.84504e-06,0.0172129,0.0475195,0,0,0.0427766,-0.0406433,-0.000931384,-0.000386765,0.0337939,-0.0835334
426.383,0.000907562,-0.000866425,0.0320518,0.0415397,0,0,-0.0010576,-0.0611914,-0.000697848,0.00085498,-0.0560673,-0.0716632
451.489,-0.000899965,-0.000267885,0.0399807,0.0249165,0,0,-0.0422733,-0.0341205,0.00063981,0.000751259,-0.0866268,0.0166892
476.596,0.000547467,0.00189625,0.0462808,0.0120262,0,0,-0.0544501,0.00769943,0.000801712,-0.000473165,-0.0298018,0.0837544
501.702,0.00340289,9.85827e-05,0.0486423,-0.00246105,0,0,-0.0320769,0.0458477,-0.000431555,-0.000841476,0.0575803,0.068831
526.809,0.00186473,-0.00340257,0.0468004,-0.0179197,0,0,0.0124755,0.0562158,-0.00113771,0.000474131,0.0894288,-0.0160111
551.915,-0.000889946,-0.0032305,0.0401646,-0.0328096,0,0,0.051769,0.0295484,0.000378813,0.00160982,0.0304012,-0.0869949
577.021,-0.00172082,-0.00308457,0.0289811,-0.0454811,0,0,0.0588459,-0.0191935,0.00213125,8.7562e-06,-0.0618618,-0.0700576
602.128,-0.00489254,-0.00197369,0.00942263,-0.0493266,0,0,0.0206803,-0.0537278,0.000514345,-0.00221161,-0.0882835,0.0243872
627.234,-0.00580967,0.00439615,-0.00550936,-0.0501538,0,0,-0.0246557,-0.0523107,-0.00215611,-0.00129876,-0.0243847,0.0883188
652.34,0.0019934,0.00743385,-0.0200556,-0.0468484,0,0,-0.0557834,-0.01862,-0.00205641,0.0017476,0.063301,0.066719
677.447,0.00625605,-0.000251382,-0.0339857,-0.0392029,0,0,-0.0527697,0.029406,0.00111046,0.00261817,0.0898987,-0.0218581
702.553,-0.000432685,-0.00404511,-0.0451648,-0.0276113,0,0,-0.0142165,0.0601549,0.00287113,-0.000333179,0.0260263,-0.0893583
727.66,-0.00218476,0.00239781,-0.0531544,-0.0134929,0,0,0.0355176,0.0532045,0.000485825,-0.0028912,-0.0645162,-0.0682815
752.766,0.00384122,0.00106714,-0.0482219,0.00562238,0,0,0.0563544,0.00540386,-0.00244134,-0.000868096,-0.0868051,0.0262233
777.872,0.00123737,-0.00474654,-0.0452587,0.0203227,0,0,0.0430827,-0.0387,-0.00141842,0.00234219,-0.0204579,0.0890574
802.979,-0.00400453,-0.00106601,-0.0376052,0.0329498,0,0,0.00102603,-0.0581936,0.002146,0.00200346,0.0671945,0.0622027
828.085,0.000493816,0.00260405,-0.0263189,0.043479,0,0,-0.0428625,-0.0405974,0.00266745,-0.00177255,0.0874885,-0.0274848
853.191,0.0018155,-0.00315526,-0.0118771,0.0504091,0,0,-0.0597712,0.00426446,-0.00113802,-0.00328252,0.0193416,-0.0898496
878.298,-0.00525497,-0.00291855,0.0039027,0.0533468,0,0,-0.0383891,0.0479427,-0.0037712,0.000193524,-0.0680961,-0.062702
903.404,-0.00465204,0.00505924,0.0209641,0.0520963,0,0,0.00965738,0.0633252,-0.000992817,0.00403763,-0.0894425,0.0269106
