# Vayyar & Minicircuits VNAKit
# Frequency range: [100 - 6000 (mhz)], 236 measurements.
# RBW: 1(khz); OutputPower: -10(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
100,0.000385957,0.00158824,-0.0467637,0.0299309,0,0,0.0445787,0.0466149,-0.00142364,-3.86196e-05,0.0861819,-0.0324182
125.106,0.00419051,-0.00376939,0.00466279,-0.0514303,0,0,-0.0370106,0.0466988,-0.000742881,0.00273819,-0.0417269,-0.080605
150.213,-0.00216756,-0.00295762,-0.01352,-0.0499264,0,0,0.0119705,0.0585403,0.00210817,0.000880486,-0.0907142,-0.000212854
175.319,-0.00117863,0.00144065,-0.0292374,-0.0424976,0,0,0.0519818,0.0293481,0.00100493,-0.00159022,-0.0437176,0.0794111
200.426,0.00158209,-0.000210237,-0.0418292,-0.0309726,0,0,0.0571657,-0.0197093,-0.00111674,-0.00110446,0.0486395,0.0767395
225.532,-0.000403543,-0.00144618,-0.0505741,-0.0162498,0,0,0.023865,-0.057057,-0.00115315,0.000595469,0.0911473,-0.00551465
250.638,-0.00060233,-0.00049221,-0.0546231,0.000596326,0,0,-0.0274712,-0.0574977,0.000114959,0.00100528,0.0399029,-0.0826524
275.745,-0.00103532,-0.00081153,-0.0434302,0.0173826,0,0,-0.0529915,-0.0127102,0.000465556,6.57601e-05,-0.0539821,-0.0696041
300.851,-0.0021958,0.000671407,-0.0366949,0.0300648,0,0,-0.0461174,0.0308481,-1.39824e-05,-0.000127722,-0.0877988,0.0118297
325.957,-0.000291299,0.00273142,-0.0260153,0.0398892,0,0,-0.00855105,0.0551388,0.000106802,0.00024825,-0.033713,0.0820444
351.064,0.00194258,0.00118249,-0.012888,0.0463281,0,0,0.0351693,0.0440431,0.000546372,-0.000105105,0.0544031,0.0703841
376.17,0.00143656,-0.000377718,0.00182098,0.0491546,0,0,0.057419,0.00399063,7.70088e-05,-0.000801717,0.0886812,-0.0121303
401.277,0.000759138,1.28998e-05,0.0173384,0.0478497,0,0,0.0431014,-0.0409709,-0.000936161,-0.00039425,0.0338703,-0.0836864
426.383,0.000913165,-0.000885854,0.0322369,0.0418098,0,0,-0.00106255,-0.0616031,-0.000705925,0.00086022,-0.0561452,-0.0717801
451.489,-0.000918836,-0.000271547,0.0403256,0.0251102,0,0,-0.0426833,-0.0344264,0.000646996,0.000754499,-0.0868907,0.0167662
476.596,0.000554806,0.00189599,0.0466373,0.0121551,0,0,-0.0549119,0.00773831,0.000820085,-0.000493736,-0.0299219,0.0839578
501.702,0.00343095,9.74444e-05,0.0490089,-0.00247641,0,0,-0.0323212,0.0462181,-0.000444433,-0.000859279,0.0577394,0.0689901
526.809,0.00187123,-0.0034398,0.0471422,-0.0180395,0,0,0.0125772,0.056676,-0.00115638,0.000475545,0.0896433,-0.0160258
