# Vayyar & Minicircuits VNAKit
# Frequency range: [2000 - 2700 (mhz)], 1001 measurements.
# RBW: 2(khz); OutputPower: 0(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
2029.4,-0.00758312,-0.00771893,0.134652,-0.0514678,0,0,-0.0504178,0.148257,-0.00322859,-0.0013696,0.105872,-0.0282947
2030.1,-0.00644152,-0.00696276,0.118583,-0.0371562,0,0,-0.0496316,0.124892,-0.00268653,-0.00126761,0.106234,-0.0235996
2030.8,-0.00677327,-0.00677549,0.117948,-0.0382077,0,0,-0.0465339,0.125817,-0.00274279,-0.0011648,0.105474,-0.0267932
2031.5,-0.00715791,-0.00659901,0.117983,-0.0392146,0,0,-0.0438507,0.1271,-0.0027962,-0.00103948,0.104693,-0.0297662
2032.2,-0.0074792,-0.00637865,0.11773,-0.0403227,0,0,-0.0409139,0.128197,-0.00285266,-0.000924909,0.103772,-0.0328597
2032.9,-0.00781506,-0.00607435,0.117025,-0.0413397,0,0,-0.0377831,0.128732,-0.00290025,-0.000806829,0.102742,-0.0359471
2033.6,-0.00815818,-0.00588895,0.117195,-0.0424158,0,0,-0.0350713,0.130039,-0.002969,-0.000694657,0.101703,-0.0388574
2034.3,-0.00848441,-0.00559413,0.116789,-0.0435127,0,0,-0.0320053,0.13084,-0.00296738,-0.000575633,0.100506,-0.0418877
2035,-0.00882767,-0.00532794,0.116494,-0.0445794,0,0,-0.0289912,0.131609,-0.00300099,-0.000422074,0.0992468,-0.0448407
2035.7,-0.00911033,-0.00502201,0.116305,-0.0455869,0,0,-0.0260835,0.13243,-0.00303898,-0.00030136,0.0979322,-0.0476528
2036.4,-0.00942871,-0.00473523,0.116207,-0.0467134,0,0,-0.0231066,0.133353,-0.00304536,-0.000180597,0.0965292,-0.0504955
2037.1,-0.0097254,-0.00440582,0.115796,-0.0476737,0,0,-0.0200797,0.13377,-0.0030875,-4.03965e-05,0.0950274,-0.0532824
2037.8,-0.00997381,-0.00405432,0.115204,-0.048662,0,0,-0.0169516,0.13406,-0.00307024,6.38685e-05,0.0934117,-0.0560834
2038.5,-0.0102251,-0.00367848,0.114709,-0.049661,0,0,-0.0138567,0.134282,-0.00306789,0.00020687,0.0917417,-0.0587858
2039.2,-0.0105162,-0.0033092,0.1148,-0.05083,0,0,-0.0108816,0.135096,-0.00311104,0.000326728,0.0900473,-0.0614046
2039.9,-0.0107241,-0.0029582,0.114315,-0.0517351,0,0,-0.00780421,0.135203,-0.00308939,0.000469825,0.0882235,-0.0640211
2040.6,-0.0109601,-0.00254434,0.113768,-0.0528048,0,0,-0.00465604,0.135245,-0.0030712,0.000612301,0.0862948,-0.0666055
2041.3,-0.0111854,-0.00216032,0.113814,-0.0538709,0,0,-0.00172346,0.135875,-0.00306033,0.000740982,0.0844143,-0.0690163
2042,-0.0113714,-0.00174962,0.113298,-0.0549158,0,0,0.00145631,0.13585,-0.00304144,0.000854252,0.0823324,-0.0715088
2042.7,-0.0114898,-0.00127725,0.112615,-0.055747,0,0,0.00451786,0.135482,-0.00298231,0.000991854,0.0802335,-0.0738709
2043.4,-0.0116686,-0.000867006,0.112372,-0.0568769,0,0,0.00763729,0.135628,-0.00300094,0.00112155,0.0780532,-0.0761846
2044.1,-0.011824,-0.000438666,0.111961,-0.0577915,0,0,0.0106823,0.135493,-0.00295897,0.00124741,0.0758789,-0.0783744
2044.8,-0.0119359,4.27761e-05,0.111549,-0.0587688,0,0,0.0137058,0.135268,-0.00291671,0.00137693,0.0735952,-0.0805366
2045.5,-0.0120421,0.000490917,0.111048,-0.0597316,0,0,0.0168012,0.134928,-0.0028527,0.00150474,0.0712215,-0.0826578
2046.2,-0.0121244,0.000998339,0.110537,-0.0607796,0,0,0.0199544,0.134515,-0.00279521,0.00163753,0.0687409,-0.08476
2046.9,-0.0121754,0.00143287,0.110172,-0.0617275,0,0,0.0229392,0.134198,-0.00275864,0.00175074,0.066321,-0.0866862
2047.6,-0.0121996,0.00191167,0.109561,-0.0626116,0,0,0.0259231,0.133525,-0.00267674,0.00189429,0.0637889,-0.0885762
2048.3,-0.012242,0.00243588,0.109123,-0.0635855,0,0,0.0289656,0.13305,-0.00261352,0.00200628,0.061223,-0.0903929
2049,-0.0122211,0.0028956,0.108493,-0.0645007,0,0,0.0320032,0.132227,-0.00253961,0.00208934,0.0585472,-0.0921521
2049.7,-0.0121824,0.00337286,0.107902,-0.0654248,0,0,0.0349644,0.131368,-0.00246579,0.00223736,0.0558618,-0.0938224
2050.4,-0.0121967,0.00387718,0.107873,-0.0665337,0,0,0.0379301,0.131122,-0.00238498,0.00234014,0.0532342,-0.0953807
2051.1,-0.0121087,0.00436883,0.10715,-0.0673771,0,0,0.0409149,0.130052,-0.00230239,0.00243917,0.0504347,-0.096891
2051.8,-0.0120326,0.00485234,0.106587,-0.0683051,0,0,0.0438398,0.129068,-0.00219689,0.00254611,0.0476251,-0.0983141
2052.5,-0.011933,0.00533264,0.106143,-0.06934,0,0,0.0468143,0.128252,-0.00213623,0.00265972,0.0447406,-0.0996879
2053.2,-0.0117993,0.00581864,0.105519,-0.0701871,0,0,0.0496506,0.127089,-0.00201887,0.00275874,0.0418558,-0.100942
2053.9,-0.0116186,0.0062829,0.104614,-0.0709508,0,0,0.0524544,0.125575,-0.0018941,0.00282382,0.0388631,-0.102137
2054.6,-0.0115023,0.00680287,0.104507,-0.0720871,0,0,0.0553815,0.124964,-0.00181426,0.00293714,0.036006,-0.103209
2055.3,-0.01129,0.00724696,0.10374,-0.0728851,0,0,0.0581634,0.123487,-0.00168876,0.00300494,0.032969,-0.104223
