# Vayyar & Minicircuits VNAKit
# Frequency range: [100 - 6000 (mhz)], 1001 measurements.
# RBW: 10(khz); OutputPower: -10(dbm); transmitting from trPort 3

FREQUENCY(MHZ),1_I,1_Q,2_I,2_Q,3_I,3_Q,4_I,4_Q,5_I,5_Q,6_I,6_Q
100,0.0555223,0.034352,-0.0532108,0.0220639,0,0,-0.000634618,0.00178956,-3.93463e-05,-7.10164e-05,0.00264477,0.0025115
105.9,0.0622251,0.0206569,-0.0517182,0.0265088,0,0,-0.000220389,0.00192191,5.519e-06,-5.3133e-05,0.00334231,0.00171843
111.8,-0.0319104,-0.0492389,0.0224193,-0.0487354,0,0,-0.0022209,0.00143608,-0.000120456,0.000111627,-0.000241564,-0.00501274
117.7,-0.0437859,-0.0382302,0.0178106,-0.050344,0,0,-0.00166642,0.00188815,-7.53223e-05,0.000147353,-0.00173151,-0.00452043
123.6,-0.0518506,-0.0248676,0.0133302,-0.0512113,0,0,-0.00105047,0.0021893,-1.43512e-05,0.000114251,-0.00289815,-0.00364608
129.5,-0.0559133,-0.0103792,0.00907812,-0.0516813,0,0,-0.000506196,0.00224661,1.45183e-05,0.000110948,-0.00368451,-0.00254304
135.4,-0.0562089,0.00414268,0.00501758,-0.0517511,0,0,6.04674e-05,0.0022294,2.69405e-05,5.4526e-05,-0.00409718,-0.00134384
141.3,-0.0532193,0.0179604,0.00114829,-0.0517874,0,0,0.000540208,0.00209911,8.8537e-05,7.13597e-05,-0.00417335,-0.000148912
147.2,-0.0470227,0.030335,-0.00262269,-0.0514983,0,0,0.000957639,0.00188375,8.08161e-05,-3.32696e-06,-0.00393393,0.000962998
153.1,-0.0382871,0.0408594,-0.00634023,-0.051095,0,0,0.00135883,0.00157367,8.82828e-05,-2.2472e-05,-0.00344896,0.00194547
159,-0.027414,0.0489376,-0.010003,-0.0505311,0,0,0.00158425,0.00119904,9.34688e-05,-2.32295e-05,-0.00274774,0.00275077
164.9,-0.0150384,0.054216,-0.0136916,-0.0497295,0,0,0.00182008,0.00083126,2.36455e-05,-5.46135e-05,-0.00187364,0.00334235
170.8,-0.00171201,0.0566234,-0.0174214,-0.0487792,0,0,0.00188961,0.000374774,8.52647e-06,-5.74915e-05,-0.000879788,0.00368231
176.7,0.0118189,0.0559241,-0.0210921,-0.0476208,0,0,0.00196072,5.72309e-06,-1.50023e-05,-5.30688e-05,0.000164552,0.00374864
182.6,0.024966,0.0520722,-0.0248436,-0.04615,0,0,0.00183765,-0.000485238,-1.30845e-05,-5.29154e-05,0.00118815,0.00352845
188.5,0.0369307,0.045216,-0.0285299,-0.0444392,0,0,0.00170138,-0.000848662,-6.21831e-05,-5.8375e-05,0.00211391,0.00302821
194.4,0.0470469,0.0356184,-0.0321749,-0.0423086,0,0,0.00143336,-0.00121793,-4.59958e-05,-3.74386e-05,0.00285073,0.00229095
200.3,0.0548697,0.0238864,-0.0357451,-0.0400099,0,0,0.00111617,-0.00155036,-3.86789e-05,-2.53623e-05,0.0033626,0.00138249
206.2,0.0595206,0.010544,-0.0390722,-0.0372048,0,0,0.000735334,-0.00171145,-6.79425e-05,1.55908e-05,0.00357268,0.000373641
212.1,0.0609289,-0.0035752,-0.0421427,-0.0342472,0,0,0.000310402,-0.00179855,-2.65923e-05,4.30832e-05,0.00348728,-0.000637599
218,0.0591958,-0.0178799,-0.0451203,-0.0309697,0,0,-0.000100616,-0.00176948,-1.94876e-05,8.51863e-06,0.00313124,-0.00157171
223.9,0.054042,-0.0313416,-0.0476783,-0.0274081,0,0,-0.000538643,-0.00169509,3.2615e-05,2.6528e-05,0.00252098,-0.00233752
229.8,0.0458972,-0.0433496,-0.0499855,-0.0236963,0,0,-0.000862267,-0.00148848,-2.10701e-05,5.54552e-05,0.00174098,-0.00288736
235.7,0.035148,-0.0531972,-0.051976,-0.0197579,0,0,-0.00114053,-0.00123473,6.96006e-06,-3.50631e-05,0.000863585,-0.00318187
241.6,0.0223728,-0.0603538,-0.0536051,-0.0157236,0,0,-0.00136126,-0.000936329,3.34171e-05,4.91908e-05,-3.9804e-05,-0.00322435
247.5,0.00838623,-0.0643505,-0.0548593,-0.011557,0,0,-0.00147384,-0.000594124,3.77837e-05,3.863e-05,-0.000876157,-0.00302167
253.4,-0.00623105,-0.06522,-0.0558587,-0.00745191,0,0,-0.00159063,-0.00022785,4.70106e-05,2.9107e-06,-0.00161391,-0.00262151
259.3,-0.020637,-0.0627944,-0.0564898,-0.00328992,0,0,-0.00155775,0.000104433,4.16395e-05,1.06831e-05,-0.00219766,-0.00205388
265.2,-0.0342308,-0.0572282,-0.0567322,0.00091501,0,0,-0.0014604,0.000419506,4.54024e-06,2.47907e-05,-0.0026008,-0.0013771
271.1,-0.0409176,-0.0387602,-0.0474013,0.00675097,0,0,-0.00107898,0.000676058,1.43925e-05,1.11776e-05,-0.00238239,-0.000406031
277,-0.0488303,-0.029305,-0.0470633,0.0101296,0,0,-0.000911763,0.000853311,-1.60769e-05,-1.44358e-05,-0.00236252,0.000218748
282.9,-0.0545267,-0.0182892,-0.0465263,0.0135119,0,0,-0.000718593,0.00100721,-6.55118e-06,-4.51419e-06,-0.00218307,0.000812175
288.8,-0.0576055,-0.00620326,-0.0456488,0.0168145,0,0,-0.000445744,0.00113264,-1.83037e-05,-2.30833e-05,-0.00185539,0.00132424
294.7,-0.057912,0.00646576,-0.0444332,0.0201153,0,0,-0.000191261,0.00120116,-4.76823e-06,-1.16085e-05,-0.0014118,0.00173313
300.6,-0.0554244,0.018997,-0.0430439,0.0233605,0,0,5.65142e-05,0.00122752,5.98362e-06,2.7388e-05,-0.000888008,0.00200163
306.5,-0.0501535,0.0307016,-0.0413601,0.0265293,0,0,0.000284929,0.00113764,-6.77231e-06,-1.85355e-05,-0.000314882,0.0021228
312.4,-0.0423049,0.0409689,-0.0392861,0.0295641,0,0,0.000532975,0.00103391,1.0798e-05,3.16071e-05,0.000265287,0.00208332
318.3,-0.0323517,0.049237,-0.0369497,0.0323625,0,0,0.000729486,0.000877732,6.84468e-07,-2.79694e-05,0.000792782,0.00188572
324.2,-0.0207795,0.055127,-0.0344662,0.0350924,0,0,0.000863626,0.000673694,9.76725e-06,1.17658e-06,0.00124159,0.00155943
330.1,-0.00830892,0.0582262,-0.0317208,0.0374523,0,0,0.000991679,0.000478589,1.7037e-05,-1.88504e-05,0.00157083,0.00113449
336,0.00451268,0.0584284,-0.0288831,0.0395976,0,0,0.00102693,0.00023587,-1.35115e-05,-2.59064e-06,0.00176079,0.000646828
341.9,0.0169392,0.0560382,-0.0259433,0.0415715,0,0,0.00103265,-3.26057e-05,5.64377e-05,-5.16331e-06,0.00180917,0.000149938
347.8,0.0285068,0.0509796,-0.0228788,0.0432552,0,0,0.000989106,-0.000238086,-7.20407e-06,4.82432e-06,0.00172388,-0.000319881
353.7,0.0386526,0.0437095,-0.0198518,0.0447798,0,0,0.00088386,-0.000424923,8.55361e-06,-3.33068e-05,0.00152985,-0.000738292
